tree,gps,loc
T01,"40°30'50.7""N, 74°26'19.7""W",Rutgers Ecopreserve
T02,"40°30'51.0""N, 74°26.1'18.7""W",Rutgers Ecopreserve
T03,"40°30'52.1""N, 74°26'11.2""W",Rutgers Ecopreserve
T04,"40° 30' 52.6"" N 74° 26' 09.6"" W",Rutgers Ecopreserve
T05,"40°45'53.8""N 74°31'00.4""W",Morristown
T06,"40°45'53.8""N 74°31'00.4""W",Morristown
T07,"40°44'50.2""N, 74°33'6.2""W",Morristown
T08,"40°45'0.6""N,74°32'48.95""W",Morristown
T09,"40°45'7.2""N, 74°33'25""W",Morristown
T10,"40°45'6.1""N,74°33'3.7""W",Morristown
T11,"40°44'43.4""N, 74°33'13""W",Morristown
T12,"40°45'0.3""N, 74°32'48.93""W",Morristown
T13,"40°45'1.7""N, 74°32'47.4""W",Morristown
T14,"40°44'48.1""N, 74°33'12.9""W",Morristown
T15,"40°45'.8""N, 74°32'46.9""W",Morristown
T16,"40°44'49.5""N, 74°33'4.8""W",Morristown
T17,"40.516191, -74.438877",Rutgers Ecopreserve
T18,"40.5159685, -74.4387762",Rutgers Ecopreserve
T19,"40.5159685, -74.4387762",Rutgers Ecopreserve
T20,"40°31'8.7""N, 74°32'55""W",Rutgers Ecopreserve
T21,"40°30'57.5""N, 74°26'21.5""W",Rutgers Ecopreserve
